timestamp per hour,Average delay_mean
1463234400000,46.5993333333
1463238000000,46.5505151515
1463241600000,46.5945763889
1463245200000,46.6102859649
1463248800000,46.6446923077
1463252400000,46.7505656566
1463256000000,46.7785416667
1463259600000,46.752625
1463263200000,46.76195
1463266800000,46.7066866667
1463270400000,46.6588233333
1463274000000,46.6388819444
1463277600000,46.7183333333
1463281200000,46.6675882353
1463284800000,46.5830833333
1463288400000,46.6346388889
1463292000000,46.6675378788
1463295600000,46.5246969697
1463299200000,46.4158392857
1463302800000,46.5154583333
1463306400000,46.6388321429
1463313600000,46.7533384615
1463317200000,46.8014722222
1463320800000,46.9006287879
1463324400000,46.4704618056
1463328000000,46.4601969697
1463331600000,46.61653125
1463335200000,46.7646666667
1463338800000,46.7429487179
1463342400000,46.6733333333
1463346000000,46.6608428819
1463349600000,46.661
1463353200000,46.6784230769
1463356800000,46.7583541667
1463360400000,46.7961262626
1463364000000,46.5375
1463367600000,46.634030303
1463371200000,46.6488680556
1463374800000,46.6271025641
1463378400000,46.58455
1463382000000,46.6146683333
1463385600000,46.6671041667
1463389200000,46.4939166667
1463392800000,46.6923267974
1463396400000,46.7352361111
1463400000000,47.1665151515
1463403600000,46.9093333333
1463407200000,46.2351079365
1463410800000,46.5669262821
1463414400000,46.7402833333
1463418000000,46.6469444444
1463421600000,46.8864125
1463425200000,46.7458280303
1463428800000,46.752775641
1463432400000,46.7329583333
1463436000000,46.655974359
1463439600000,46.6725555556
1463443200000,46.4902222222
1463446800000,46.67
1463450400000,46.7290555556
1463454000000,46.7053005051
1463457600000,46.6202666667
1463461200000,46.6333459596
1463464800000,46.6142310606
1463468400000,46.5370767677
1463472000000,46.5535277778
1463475600000,46.7022
1463479200000,46.5685952381
1463482800000,46.8611666667
1463486400000,46.7270666667
1463490000000,46.8359166667
1463493600000,46.7338958333
1463497200000,46.6242083333
1463500800000,46.6139939394
1463504400000,46.4789791667
1463508000000,47.055748
1463511600000,46.7176794872
1463515200000,46.7335462963
1463518800000,46.6951538462
1463522400000,46.7912361111
1463526000000,46.6221207071
1463529600000,46.5806666667
1463533200000,46.7222316141
1463536800000,46.7567424242
1463540400000,46.6605416667
1463544000000,46.2556931818
1463547600000,46.8195777778
1463551200000,46.7664078947
1463554800000,46.699479798
1463558400000,46.613530303
1463562000000,46.5343141026
1463565600000,46.6104930556
1463569200000,46.822219697
1463572800000,46.797375
1463576400000,46.7297045455
1463580000000,46.4890444444
1463583600000,46.6737863636
1463587200000,46.6166666667
1463590800000,46.60985
1463594400000,46.7523333333
1463598000000,46.8505103704
1463601600000,46.6967070707
1463605200000,46.488875
1463608800000,46.6477814815
1463612400000,46.6996538462
1463616000000,46.6339131944
1463619600000,46.7906319444
1463623200000,46.8518348485
1463626800000,46.699525
1463630400000,46.5894166667
1463634000000,46.6842242424
1463637600000,46.6480151515
1463641200000,46.6776933333
1463644800000,46.6160735294
1463648400000,46.673
1463652000000,46.5422265625
1463655600000,46.5363968254
1463659200000,46.7545416667
1463662800000,46.9518657407
1463666400000,46.8184166667
1463670000000,46.4493686869
1463673600000,46.7264333333
1463677200000,46.7318723958
1463680800000,46.6493095238
1463684400000,46.6669128205
1463688000000,46.7176666667
1463691600000,46.4308333333
1463695200000,46.4522857143
1463698800000,46.8085705128
1463702400000,46.564375
1463706000000,46.9990656566
1463709600000,46.59825
1463713200000,46.6660784314
1463716800000,46.4875248366
1463720400000,46.5052444444
1463724000000,46.7099930556
1463727600000,46.3443666667
1463731200000,46.0733333333
1463734800000,46.254
1463738400000,46.275922619
1463742000000,46.3336852564
1463745600000,46.4438846154
1463749200000,46.3866794872
1463752800000,46.2420769231
1463756400000,46.1655458333
1463760000000,45.9199583333
1463763600000,45.70409375
1463767200000,46.0777291667
1463770800000,46.0591848485
1463774400000,46.1414907407
1463778000000,46.4282478632
1463781600000,46.1769583333
1463785200000,45.9666212121
1463788800000,45.9929102564
1463792400000,46.1320343137
1463796000000,46.344275
1463799600000,46.2352777778
1463803200000,46.1063107639
1463806800000,46.0843181818
1463810400000,46.1371628788
1463814000000,45.9079583333
1463817600000,46.0071212121
1463821200000,46.1049436275
1463824800000,46.1355416667
1463828400000,46.1365055556
1463832000000,46.2254545455
1463835600000,46.160125
1463839200000,45.9273333333
