timestamp per day,Average delay_mean
1452553200000,46.7465228395
1452639600000,46.6820362257
1452726000000,46.5716239919
1452898800000,46.9251666667
1453676400000,46.6464037302
1453762800000,46.6940157533
1453849200000,46.6742654122
1453935600000,46.6816413587
1454022000000,46.6859582559
1454108400000,46.7388621169
1454194800000,46.6935537199
1454281200000,46.6759330986
1454367600000,46.6734054555
1454454000000,46.7079690055
1454540400000,46.6294217685
1454626800000,46.7078009579
1454713200000,46.6044686895
1454799600000,46.6769443686
1454886000000,46.6553648116
1454972400000,46.6804329801
1455058800000,46.684538285
1455145200000,46.6673563822
1455231600000,46.6690833927
1455318000000,46.6309326412
1455404400000,46.6761998548
1455490800000,46.6620517045
1455577200000,46.681663948
1455663600000,46.6731791177
1455750000000,46.6775168525
1455836400000,46.7085359874
1455922800000,46.6862899123
1456009200000,46.691179085
1456095600000,46.6947512658
1456182000000,46.6901830546
1456268400000,46.6989102981
1456354800000,46.6832476641
1456441200000,46.6748192426
1456527600000,46.7250954885
1456614000000,46.646248103
1456700400000,46.6936244041
1456786800000,46.7085484611
1456873200000,46.7054017169
1456959600000,46.6690488928
1457046000000,46.7041762591
1457132400000,46.6741423779
1457218800000,46.7192972318
1457305200000,46.6875007453
1457391600000,46.6882582164
1457478000000,46.6932131269
1457564400000,46.7046112543
1457650800000,48.3985406718
1457737200000,46.6686844083
1457823600000,46.6660810837
1457910000000,46.7113235625
1457996400000,46.6750664676
1458082800000,46.6830760404
1458169200000,46.6351208841
1458255600000,46.6329639368
1458342000000,46.6465484154
1458428400000,46.6245206019
1458514800000,46.6609493077
1458601200000,46.6705184448
1458687600000,46.6539274221
1458774000000,46.6463605517
1458860400000,46.7183104094
1458946800000,46.6642288715
1459033200000,46.6800901048
1459116000000,46.6778968519
1459202400000,46.6662194348
1459288800000,46.6597362654
1459375200000,46.6396940201
1459461600000,46.653727682
1459548000000,46.6397894484
1459634400000,46.6343977893
1459720800000,46.6452533961
1459807200000,46.6480880086
1459893600000,46.5840195257
1459980000000,46.6483241571
1460066400000,46.6306896073
1460152800000,46.6661643939
1460239200000,46.6565530886
1460325600000,46.6456206621
1460412000000,46.6590883741
1460498400000,46.6546773341
1460584800000,46.7119644932
1460671200000,46.650664636
1460757600000,46.6926688472
1460844000000,null
1460930400000,null
1461016800000,null
1461103200000,46.7328622249
1461189600000,46.6839746315
1461276000000,46.6930270688
1461362400000,46.6806780854
1461448800000,46.6928045115
1461535200000,46.6181965544
1461621600000,46.1491169154
1461708000000,46.1187315359
1461794400000,46.3663374132
1461880800000,46.726889527
1461967200000,46.7211054878
1462053600000,46.6669592656
1462140000000,46.7449646394
1462226400000,46.6964845679
1462312800000,47.5318480726
1462399200000,46.6501990487
1462485600000,46.7176390798
1462572000000,46.6792198084
1462658400000,46.6673955225
1462744800000,47.346486313
1462831200000,46.3543313209
1462917600000,46.6930709178
1463004000000,46.7074922222
1463090400000,46.6603500094
1463176800000,46.6856118911
1463263200000,46.6581125501
1463349600000,46.6861622104
1463436000000,46.6688512309
1463522400000,46.6663840787
1463608800000,46.6703144521
1463695200000,46.365629277
1463781600000,46.2435448289
1463868000000,46.672635182
1463954400000,46.6429157706
1464040800000,46.6412181016
1464127200000,46.6700875
1464213600000,46.680629345
1464300000000,46.7351804871
1464386400000,46.7147436246
1464472800000,46.6663839796
1464559200000,46.7175545296
1464645600000,46.7121043587
1464904800000,46.7158978009
1464991200000,46.7380146514
1465077600000,46.6925412355
1465164000000,46.7083017028
1465250400000,46.8101492787
1465336800000,46.722545969
1465423200000,46.7564352222
1466460000000,46.7001852778
1466546400000,46.6693559624
1466632800000,46.6796515366
1466719200000,46.7294472994
1466805600000,46.7315147762
1466892000000,46.6757203107
1466978400000,46.6481378858
1467064800000,46.6137882932
